Q000784	1 = 1	1	6	11	@wPN{Ud-ul-uru} (Old man cultivator) gave advice to his son:
Q000784	2 = 2-7	6	10	22 23 24 25 26 27	When you have to prepare a field, inspect the levees, canals and mounds that have to be opened. When you let the flood water into the field, this water should not rise too high in it. At the time that the field emerges from the water, watch its area with standing water; it should be fenced. Do not let cattle herds trample there.
Q000784	8 = 8-13	6	12	88 89 810 811 812 813	After you cut back the plant bundles and establish the limits of the field, level it repeatedly with a thin hoe weighing two-thirds of a mina @note{approx. 650 g}. Let a flat hoe erase the oxen tracks, let the field be swept clean. A maul should flatten the furrow bottoms of the area. A hoe should go round the four edges of the field. Until the field is dry it should be smoothed out.
Q000784	14 = 14-22	9	9	1414 1415 1416 1417 1418 1419 1420 1421 1422	Your implements should be ready. The parts of your yoke should be assembled. Your new whip should hang from a nail -- the bindings of the handle of your old whip should be repaired by artisans. The adze, drill and saw, your tools and your strength, should be in good order. Let braided thongs, straps, leather wrappings and whips be attached securely. Let your sowing basket be checked, and its sides made strong. What you need for the field should be at hand. Inspect your work carefully.
Q000784	23 = 23-29	7	9	2323 2324 2325 2326 2327 2328 2329	The plough oxen will have back-up oxen. The attachments of ox to ox should be loose. Each plough will have a back-up plough. The assigned task for one plough is 180 @fsux{iku} @note{approx. 65 ha}, but if you build the implement at 144 @fsux{iku} @note{approx. 52 ha}, the work will be pleasantly performed for you. 180 @fsux{sila} of grain @note{approx. 180 litres; expressed in the cuneiform as 3 of an unwritten measure comprising 60 @fsux{sila}, @fsux{gur} indicating that the preceding signs specify a capacity} will be spent on each 18 @fsux{iku} area @note{approx. 6 1/2 ha}.
Q000784	30 = 30-34	5	11	3030 3031 3032 3033 3034	After working one plough's area with a @fsux{bardili} plough, and after working the @fsux{bardili} plough's area with a @fsux{tugsaga} plough, till it with the @fsux{tuggur} plough. Harrow once, twice, three times. When you flatten the stubborn spots with a heavy maul, the handle of your maul should be securely attached, otherwise it will not perform as needed.
Q000784	35 = 35-40	6	8	3535 3536 3537 3538 3539 3540	When your field work becomes excessive, you should not neglect your work; no one should have to tell anyone else: @q[unknown,unknown]{“Do your field work!”}. When the constellations in the sky are right, do not be reluctant to take the oxen force to the field many times. The hoe should work everything.
Q000784	41 = 41-45	5	8	4141 4142 4143 4144 4145	When you have to work the field with the seeder-plough, your plough should be properly adjusted. Put a leather sealing on the @fsux{kašu} of your plough. Provide your beam with narrow pegs. Your boards should be spread. Make your furrows.
Q000784	46 = 46-54	9	9	4646 4647 4648 4649 4650 4651 4652 4653 4654	Make eight furrows per @fsux{nindan} @note{6 m} of width; the barley will lodge in more closely spaced furrows. When you have to work the field with the seeder-plough, keep your eye on your man who drops the seed. The grain should fall two fingers deep. You should put one @fsux{giŋ} of seed per @fsux{nindan} @note{approx. 3 ml per m}. If the barley seed is not being inserted in the hollow of the furrow, change the wedge of your plough share. If the bindings become loose, tighten them.
Q000784	55 = 55-63	9	9	5555 5556 5557 5558 5559 5560 5561 5562 5563	Where you have made vertical furrows, make slanted furrows, and where you have made slanted furrows, make vertical furrows. Straight furrows will give you edges that are wide enough and nice. Your crooked furrows should be straightened out. Make the furrows clear. Plough your portion of field. The clods should be picked out. The furrows should be made wide where the soil is open, and the furrows should be narrower where the soil is clogged: it is good for the seedlings.
Q000784	64 = 64-73	10	9	6464 6465 6466 6467 6468 6469 6470 6471 6472 6473	After the seedlings break open the ground, perform the rites against mice. Turn away the teeth of the locusts. When the plants overflow the narrow bottoms of the furrows, water them with the water of the first seed. When the plants resemble a …… reed mat, water them. Water the plants when they are heading. When the plants are fully leafed out, do not water them or they will become infected by leaf rust. When the barley is right for husking, water it. It will provide a yield increase of one @fsux{sila} per @fsux{ban} @note{approx. 1 litre in 10}.
Q000784	74 = 74-80	7	10	7474 7475 7476 7477 7478 7479 7480	When you have to reap the barley, do not let the plants become overripe. Harvest at the right time. One man is to cut the barley, and one to tie the sheaves; and one before him should apportion the sheaves: three men should harvest for you. The people who gather the barley should not let the grain dry. They should not scatter the grain when it is in the stacks.
Q000784	81 = 81-90	10	7	8181 8182 8183 8184 8185 8186 8187 8188 8189 8190	Your daily work starts at daybreak. Gather your force of helpers and grain gatherers in sufficient number and lay down the sheaves. Your work should be carefully done. Although they have been having stale coarse flour, do not let anyone thresh for your new bread -- let the sheaves have a rest. The rites for the sheaves should be performed daily. When you transport your barley, your barley carriers should handle small amounts.
Q000784	91 = 91-95	5	6	9191 9192 9193 9194 9195	Mark the limits of a vacant lot of yours. Establish properly your access paths to it. Your waggons should be in working order. Feed the waggon's oxen. Your implements should be …….
Q000784	96 = 96-103	8	8	9696 9697 9698 9699 96100 96101 96102 96103	Let your prepared threshing floor rest for a few days. When you open the threshing floor, smooth its surface. When you thresh, the teeth of your threshing sledge and its leather straps should be secured with bitumen. When you make the oxen trample the grain, your threshers should be strong. When your grain is spread on the ground, perform the rites of the grain not yet clean.
Q000784	104 = 104-106	3	6	104104 104105 104106	When you winnow, put an intelligent person as your second winnower. Two people should work at moving the grain around.
Q000784	107 = 107-109	3	8	107107 107108 107109	When the grain is clean, lay it under the measuring stick. Perform the rites in the evening and at night. Release the grain at midday.
Q000784	110 = 110-111	2	9	110110 110111	Instructions of the god @wDN{Ninurta}, the son of @wDN{Enlil} -- @wDN{Ninurta}, faithful farmer of @wDN{Enlil}, your praise be good!
